Process,Laboratory Scale,Pilot Scale,Industrial Scale
Thermal treatment,912,63,7
Water jet cutting,413,0,0
Forklift operation,0,2,2
Aluminum frame dismantling,0,3,2
Junction box dismantling,0,0.4,3
Conveyor belt operation,0,0,5
TOTAL,1325,68.4,19
