NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M2301-0011,1/12/2023 8:24,389.2,9.931,48.79,81.1
M2301-0012,1/12/2023 8:09,388.6,9.944,48.75,80.9
M2301-0015,7/25/2023 13:54,391,9.973,48.73,81.2
,,,,,
